Town,            Population, Country,            Page, Lat_Deg, Lat_Min, Lat_Dir, Lon_Deg, Lon_Min, Lon_Dir
Gididu,          887,        Kalamar,            317,  37,      10,      N,       0,       35,      W
Gigewidu,        490,        Kalamar,            321,  33,      20,      N,       1,       30,      W
Giguvafithidu,   840,        Kalamar,            317,  34,      30,      N,       2,       15,      W
Gihakidu,        525,        Dodera,             314,  38,      30,      N,       0,       5,       W
Gihido,          1112,       Dodera,             348,  40,      30,      N,       1,       0,       E
Gihven,          1222,       Mendarn,            303,  38,      5,       N,       17,      35,      W
Giilia,          7100,       Keenorators,        372,  38,      0,       N,       5,       10,      E
Gik,             345,        Kalamar,            321,  32,      55,      N,       1,       45,      W
Gikethidu,       429,        Kalamar,            322,  33,      45,      N,       1,       10,      E
Gikidu,          440,        Kalamar,            322,  31,      25,      N,       1,       0,       E
Gikk,            434,        Drhokker,           357,  47,      15,      N,       4,       50,      E
Gimbatagh,       3500,       Tarisato,           326,  29,      20,      N,       3,       35,      E
Gimikidu,        594,        Basir,              312,  37,      30,      N,       5,       45,      W
Ginvven,         1973,       Mendarn,            299,  40,      20,      N,       16,      50,      W
Gipiridu,        520,        Paru'bor,           343,  44,      15,      N,       3,       45,      W
Girnden,         363,        Korak,              341,  44,      15,      N,       10,      0,       W
Girnden,         588,        Mendarn,            304,  37,      55,      N,       17,      10,      W
Girrukk,         987,        Drhokker,           358,  46,      15,      N,       5,       55,      E
Girudothido,     1357,       Kalamar,            320,  34,      15,      N,       4,       20,      W
Githawethido,    1161,       Kalamar,            318,  34,      45,      N,       0,       40,      E
Gitidu,          771,        Kalamar,            316,  34,      55,      N,       4,       15,      W
Gitidu,          574,        Kalamar,            322,  33,      20,      N,       2,       5,       E
Gitidu,          440,        Kalamar,            323,  33,      40,      N,       3,       15,      E
Giwido,          1599,       Kalamar,            318,  34,      40,      N,       0,       20,      W
Gobido,          1456,       Tarisato,           325,  29,      30,      N,       1,       25,      E
Godazh,          372,        Norga-Krangrel,     341,  43,      20,      N,       10,      10,      W
Gogido,          3200,       Tarisato,           329,  27,      50,      N,       3,       40,      E
Gohadido,        1304,       Basir,              320,  33,      50,      N,       4,       15,      W
Gohgahni,        408,        Ozhvinmish,         395,  31,      30,      N,       8,       40,      W
Gohmish,         456,        Ozhvinmish,         402,  29,      30,      N,       7,       50,      W
Gohzmish,        1002,       Meznamish,          392,  33,      0,       N,       15,      25,      W
Gomahido,        1558,       Ek'gakel,           343,  45,      50,      N,       4,       30,      W
Gommish,         1014,       Meznamish,          399,  31,      10,      N,       16,      35,      W
Gonaap,          701,        Zazahni,            401,  28,      55,      N,       10,      45,      W
Gonven,          1940,       Eldor,              298,  42,      40,      N,       18,      5,       W
Goosiur,         581,        Nanakaryforest,     373,  38,      20,      N,       9,       10,      E
Gorido,          1333,       Pekal,              346,  41,      30,      N,       6,       45,      W
Gorido,          1233,       Kalamar,            325,  30,      0,       N,       1,       25,      E
Gorlden,         722,        Mendarn,            299,  40,      20,      N,       15,      35,      W
Gosidu,          794,        Kalamar,            322,  32,      10,      N,       0,       30,      E
Gothmerr,        3300,       Drhokker,           358,  46,      30,      N,       7,       15,      E
Govido,          1114,       Korak,              345,  42,      50,      N,       8,       55,      W
Govlven,         920,        Eldor,              295,  46,      10,      N,       13,      55,      W
Govosidu,        578,        Kalamar,            318,  35,      40,      N,       0,       55,      E
Gowido,          913,        Kalamar,            318,  36,      45,      N,       2,       10,      E
Gowidu,          644,        Kalamar,            323,  31,      55,      N,       2,       20,      E
Gozhahn,         397,        Ozhvinmish,         402,  31,      5,       N,       8,       20,      W
Gragragh,        712,        Ul-Karg,            398,  29,      25,      N,       18,      25,      W
Grerzagh,        576,        Tarisato,           326,  30,      45,      N,       3,       30,      E
Grihondagh,      540,        Ul-Karg,            406,  27,      20,      N,       17,      55,      W
Grofagh,         360,        Norga-Krangrel,     341,  43,      20,      N,       10,      30,      W
Grolven,         1127,       Bronish,            397,  30,      55,      N,       20,      45,      W
Gruhgremagh,     703,        Tarisato,           326,  29,      15,      N,       3,       40,      E
G'soka'af,       339,        Kalamar,            285,  36,      15,      N,       0,       55,      E
Gudido,          1269,       Tokis,              347,  40,      50,      N,       3,       50,      E
Guf,             374,        Paru'bor,           344,  45,      10,      N,       1,       45,      W
Gughandaz,       498,        Norga-Krangrel,     345,  40,      40,      N,       10,      5,       W
Guhido,          1339,       Kalamar,            318,  36,      55,      N,       0,       15,      W
Guhidu,          540,        Kalamar,            321,  34,      15,      N,       0,       35,      W
Guhidu,          597,        Kalamar,            322,  31,      30,      N,       1,       20,      E
Guhvibazh,       357,        Norga-Krangrel,     345,  40,      25,      N,       9,       25,      W
Gulidu,          444,        Kalamar,            323,  32,      30,      N,       2,       15,      E
Guluna,          145,        Kalamar,            321,  33,      50,      N,       0,       40,      W
Guminidu,        487,        Tokis,              313,  39,      35,      N,       1,       35,      W
Gunibidu,        547,        Tarisato,           326,  29,      25,      N,       2,       20,      E
Gurdven,         914,        Eldor,              288,  46,      20,      N,       17,      25,      W
Gurragh,         646,        Tarisato,           326,  29,      5,       N,       4,       25,      E
Gurrrapazh,      482,        Ul-Karg,            399,  29,      45,      N,       15,      40,      W
Guspven,         1451,       Pelbrolenon,        309,  36,      50,      N,       16,      50,      W
Gutido,          1036,       Kalamar,            321,  33,      0,       N,       2,       40,      W
Gutidu,          508,        Tarisato,           326,  29,      10,      N,       2,       15,      E
Guvegibidu,      549,        Tarisato,           325,  29,      45,      N,       1,       35,      E
Guvidu,          648,        Kalamar,            322,  32,      40,      N,       0,       20,      W
Guvlden,         667,        Mendarn,            303,  38,      20,      N,       17,      45,      W
Guvlven,         RUINS,      Eldor,              299,  42,      25,      N,       15,      45,      W
Guwden,          722,        Eldor,              298,  42,      30,      N,       18,      30,      W
Guwidu,          832,        Kalamar,            322,  31,      30,      N,       0,       5,       W
Guzden,          396,        Mendarn,            304,  38,      40,      N,       17,      5,       W
Guzven,          1483,       Pelbrolenon,        308,  36,      10,      N,       17,      20,      W
Gybar,           957,        Shynabyth,          344,  46,      10,      N,       0,       55,      W
Gyky,            491,        Slen,               340,  48,      45,      N,       1,       40,      W
Gyry,            812,        Thybaj,             363,  44,      30,      N,       5,       15,      E
Gysath,          1669,       Thybaj,             363,  44,      30,      N,       5,       35,      E
Gyshyth,         522,        Thybaj,             368,  38,      50,      N,       3,       35,      E
Gyth,            1084,       Tharggy,            366,  40,      55,      N,       1,       25,      E
Gytor,           356,        Thybaj,             367,  41,      50,      N,       3,       55,      E
Haanex,          350,        Skarrna,            369,  41,      55,      N,       7,       45,      E
Habonagidu,      527,        Kalamar,            321,  34,      15,      N,       2,       15,      W
Hadapido,        1093,       Tokis,              313,  39,      45,      N,       1,       40,      W
Haden,           508,        Pelbrolenon,        309,  35,      50,      N,       15,      10,      W
Hadidu,          672,        Kalamar,            316,  36,      30,      N,       4,       10,      W
Hafden,          409,        Cosdol,             285,  50,      10,      N,       13,      35,      W
Hafidu,          558,        Kalamar,            322,  32,      55,      N,       0,       5,       E
Hafidu,          468,        Kalamar,            322,  33,      30,      N,       0,       25,      E
Hagidu,          639,        Kalamar,            321,  34,      15,      N,       2,       20,      W
Hahavidu,        603,        Tarisato,           325,  28,      20,      N,       2,       10,      E
Hahido,          1089,       Kalamar,            325,  31,      15,      N,       2,       5,       E
Hahshahn,        2468,       Zazahni,            408,  27,      50,      N,       13,      0,       W
Hahzmahn,        1414,       Zazahni,            409,  28,      0,       N,       10,      55,      W
Hahzmish,        2102,       Meznamish,          392,  32,      5,       N,       15,      35,      W
Hajyj,           456,        Khydobandesert,     379,  34,      5,       N,       9,       35,      E
Halidu,          564,        Tarisato,           325,  29,      10,      N,       1,       35,      E
Hamzhahn,        929,        Ozhvinmish,         395,  32,      15,      N,       8,       55,      W
Hanido,          1893,       Kalamar,            318,  36,      50,      N,       2,       0,       E
Hanidu,          487,        Kalamar,            325,  30,      55,      N,       2,       5,       E
Hanivobanido,    1266,       Kalamar,            318,  34,      50,      N,       0,       20,      W
Hanowhahn,       448,        Ozhvinmish,         393,  31,      55,      N,       12,      35,      W
Hapidu,          529,        Kalamar,            325,  31,      0,       N,       1,       55,      E
Haregido,        1425,       O'par,              366,  41,      40,      N,       0,       20,      W
Harido,          1886,       Kalamar,            318,  36,      20,      N,       0,       15,      W
Has,             720,        P'bapar,            337,  47,      35,      N,       10,      40,      W
Hasek'wido,      988,        Kalamar,            318,  35,      25,      N,       1,       20,      E
Hashmahn,        1360,       Zazahni,            400,  30,      20,      N,       11,      45,      W
Hashnahni,       408,        Ozhvinmish,         395,  32,      15,      N,       8,       40,      W
Hasvahn,         315,        Ozhvinmish,         394,  32,      40,      N,       10,      35,      W
Hatak,           1171,       Elosdesert,         310,  35,      35,      N,       13,      35,      W
Hatden,          425,        Mendarn,            308,  37,      0,       N,       18,      25,      W
Hathysh,         RUINS,      Counaiheights,      368,  38,      0,       N,       3,       25,      E
Hatidu,          453,        Kalamar,            318,  36,      50,      N,       0,       5,       E
Hav,             342,        Tarisato,           326,  28,      35,      N,       2,       55,      E
Havika'ehidu,    447,        Tarisato,           329,  28,      20,      N,       2,       50,      E
Haviwubul,       331,        Basir,              320,  33,      0,       N,       4,       35,      W
Havrden,         805,        Eldor,              299,  40,      40,      N,       16,      25,      W
Hawven,          1203,       Mendarn,            308,  37,      15,      N,       19,      10,      W
Heap-Ahnozh,     1475,       Zazahni,            400,  29,      55,      N,       12,      15,      W
Hebidu,          499,        Kalamar,            322,  31,      40,      N,       0,       50,      E
Hecden,          489,        Eldor,              298,  43,      10,      N,       17,      55,      W
Hedidu,          668,        Kalamar,            321,  33,      20,      N,       2,       15,      W
Hedidu,          608,        Kalamar,            322,  32,      30,      N,       0,       30,      W
Hedukidu,        629,        Kalamar,            322,  31,      50,      N,       1,       5,       E
Hefden,          481,        Eldor,              299,  42,      30,      N,       16,      40,      W
Hefidu,          566,        Kalamar,            317,  36,      35,      N,       1,       5,       W
Hefidu,          512,        Kalamar,            322,  32,      40,      N,       1,       15,      E
Hegidu,          868,        Basir,              316,  34,      35,      N,       4,       25,      W
Heguhipido,      1945,       Tokis,              312,  39,      25,      N,       3,       50,      W
Hehahni,         1375,       Zazahni,            409,  28,      0,       N,       9,       0,       W
Hehimish,        316,        Ozhvinmish,         394,  32,      0,       N,       11,      15,      W
Hehivahni,       821,        Ahznomahn,          402,  28,      55,      N,       8,       40,      W
Hehzazh,         472,        Tarisato,           326,  29,      55,      N,       3,       30,      E
Heka'as,         218,        Pekal,              346,  41,      45,      N,       7,       10,      W
Hekpeghagh,      2116,       Ul-Karg,            399,  28,      45,      N,       16,      15,      W
Hemden,          616,        Eldor,              299,  42,      20,      N,       15,      55,      W
Hemish,          1866,       Ozhvinmish,         393,  33,      5,       N,       13,      30,      W
Hemish,          1192,       Meznamish,          399,  30,      40,      N,       16,      25,      W
Hemzhahni,       464,        Ahznomahn,          402,  30,      35,      N,       7,       25,      W
Hendden,         319,        Bronish,            397,  30,      55,      N,       20,      20,      W
Henmerkk,        473,        Drhokker,           364,  45,      30,      N,       8,       25,      E
Henshnahni,      769,        Ozhvinmish,         394,  32,      5,       N,       10,      5,       W
Henukadido,      1104,       Kalamar,            317,  36,      20,      N,       2,       40,      W
Heogoz,          533,        Keenorators,        368,  37,      55,      N,       4,       55,      E
Herazue,         439,        Nanakaryforest,     373,  38,      30,      N,       9,       0,       E
Herdden,         377,        Delnondrianislands, 298,  42,      0,       N,       19,      55,      W
Heshvahn,        1088,       Zazahni,            401,  28,      35,      N,       11,      25,      W
Hethutazh,       403,        Ul-Karg,            399,  28,      40,      N,       16,      45,      W
Hetividu,        673,        Kalamar,            321,  32,      10,      N,       0,       40,      W
Hevidu,          578,        Kalamar,            322,  31,      30,      N,       0,       5,       E
Hezmahn,         1035,       Ahznomahn,          410,  27,      15,      N,       6,       55,      W
H'fotidu,        553,        Kalamar,            322,  33,      40,      N,       1,       0,       E
Hiakk,           1019,       Skarrna,            370,  42,      40,      N,       7,       55,      E
Hibido,          2703,       Kalamar,            316,  34,      30,      N,       4,       25,      W
Hididu,          631,        Kalamar,            322,  32,      40,      N,       0,       10,      W
Hihden,          772,        Cosdol,             290,  48,      20,      N,       13,      45,      W
Hika'idu,        485,        Kalamar,            322,  32,      5,       N,       0,       5,       E
Hilnden,         465,        Eldor,              298,  42,      35,      N,       18,      15,      W
Himish,          1242,       Zazahni,            401,  30,      35,      N,       10,      45,      W
Himniholn,       425,        Ek'gakel,           342,  46,      10,      N,       6,       35,      W
Hinahn,          943,        Zazahni,            408,  28,      10,      N,       13,      10,      W
Hindsusazh,      467,        Tarisato,           326,  31,      10,      N,       3,       30,      E
Hiniwopido,      2713,       O'par,              348,  41,      15,      N,       1,       50,      E
Hinkar,          382,        Skarrna,            364,  44,      40,      N,       8,       40,      E
Hinoz,           397,        Ozhvinmish,         393,  33,      10,      N,       13,      25,      W
Hinsvahni,       393,        Ahznomahn,          403,  29,      30,      N,       5,       55,      W
Hinvahn,         507,        Ahznomahn,          402,  28,      35,      N,       7,       40,      W
Hipawidu,        730,        Kalamar,            325,  30,      10,      N,       1,       20,      E
Hirekk,          518,        Tharggy,            367,  41,      25,      N,       3,       20,      E
Hirkk,           587,        Skarrna,            364,  43,      40,      N,       9,       25,      E
Hith,            431,        Skarrna,            364,  43,      50,      N,       8,       20,      E
Hithido,         1808,       Kalamar,            321,  33,      30,      N,       3,       15,      W
Hitido,          1569,       Tokis,              313,  38,      30,      N,       2,       50,      W
Hitidu,          629,        Paru'bor,           344,  44,      50,      N,       1,       45,      W
Hitidu,          559,        O'par,              348,  42,      20,      N,       1,       10,      E
Hitidu,          667,        Basir,              320,  34,      15,      N,       5,       10,      W
Hivkusagh,       732,        Tarisato,           329,  28,      0,       N,       4,       30,      E
Hivovido,        2201,       Tokis,              312,  38,      5,       N,       4,       35,      W
Hiwohiridu,      567,        Kalamar,            318,  36,      20,      N,       0,       5,       E
Hizzahni,        RUINS,      Zazahni,            400,  29,      45,      N,       14,      25,      W
Hobido,          846,        Pekal,              346,  42,      0,       N,       6,       35,      W
Hodusurepido,    935,        Tokis,              312,  38,      25,      N,       4,       5,       W
Hofidu,          577,        Kalamar,            317,  37,      0,       N,       0,       50,      W
Hohlmahn,        1265,       Meznamish,          392,  31,      30,      N,       16,      0,       W
Hohmish,         1609,       Meznamish,          399,  31,      10,      N,       15,      45,      W
Hohmish,         381,        Ozhvinmish,         401,  31,      15,      N,       9,       25,      W
Hohnnahn,        RUINS,      Zazahni,            400,  29,      30,      N,       14,      20,      W
Hohnzahni,       473,        Ahznomahn,          402,  29,      30,      N,       8,       45,      W
Hohzohz,         1064,       Meznamish,          392,  33,      20,      N,       15,      0,       W
Hokagh,          1286,       Norga-Krangrel,     345,  42,      40,      N,       9,       40,      W
Hokidu,          644,        Kalamar,            323,  33,      15,      N,       2,       25,      E
Holmden,         875,        Eldor,              298,  43,      5,       N,       17,      25,      W
Homimish,        305,        Ozhvinmish,         394,  33,      20,      N,       10,      30,      W
Homish,          2927,       Meznamish,          392,  32,      35,      N,       15,      15,      W
Homish,          849,        Ozhvinmish,         393,  32,      50,      N,       13,      25,      W
Homish,          1768,       Zazahni,            409,  27,      50,      N,       9,       20,      W
Homiwahn,        699,        Ozhvinmish,         401,  31,      15,      N,       9,       15,      W
Hon,             399,        P'bapar,            337,  46,      40,      N,       10,      20,      W
Honido,          2115,       O'par,              348,  42,      30,      N,       2,       20,      E
Hosehnmish,      2691,       Meznamish,          399,  31,      15,      N,       15,      55,      W
Hosido,          1577,       Kalamar,            318,  35,      45,      N,       0,       10,      W
Hosnahn,         1339,       Meznamish,          399,  31,      0,       N,       15,      15,      W
Hothidu,         687,        Kalamar,            322,  34,      0,       N,       0,       50,      E
Hounun,          750,        Fauteepeninsula,    378,  32,      25,      N,       5,       35,      E
Hovorden,        504,        Ek'gakel,           343,  45,      30,      N,       5,       50,      W
Howsahni,        935,        Meznamish,          392,  32,      10,      N,       16,      0,       W
How'thidu,       432,        Kalamar,            318,  37,      5,       N,       0,       5,       W
Hozazahn,        1130,       Meznamish,          399,  30,      35,      N,       16,      20,      W
Hozgahni,        1376,       Ozhvinmish,         395,  31,      55,      N,       8,       5,       W
Hozhtahn,        1348,       Zazahni,            400,  30,      5,       N,       12,      0,       W
Hozmish,         361,        Ozhvinmish,         393,  32,      35,      N,       13,      25,      W
Hozzahni,        361,        Ozhvinmish,         395,  31,      50,      N,       8,       45,      W
Hubefunidu,      495,        Basir,              320,  33,      10,      N,       5,       0,       W
Hucden,          540,        Eldor,              299,  42,      30,      N,       16,      55,      W
Hud,             379,        Kalamar,            322,  31,      40,      N,       0,       15,      E
Hudepido,        1856,       Kalamar,            325,  31,      10,      N,       0,       25,      W
Hudven,          1983,       Eldor,              299,  42,      25,      N,       17,      5,       W
Huf'gidu,        450,        Tokis,              313,  38,      15,      N,       2,       55,      W
Hufido,          1135,       Dodera,             314,  38,      10,      N,       0,       30,      W
Huhetor,         363,        Kalamar,            321,  32,      25,      N,       1,       35,      W
Huhido,          902,        Kalamar,            322,  33,      5,       N,       1,       0,       E
Hulido,          980,        Kalamar,            321,  33,      45,      N,       1,       30,      W
Hulloer,         416,        Kaotoonisland,      375,  36,      5,       N,       6,       0,       E
Hulnven,         1434,       Eldor,              299,  42,      10,      N,       15,      35,      W
Humahidu,        632,        Dodera,             314,  39,      0,       N,       0,       30,      E
Humidu,          473,        Kalamar,            323,  33,      20,      N,       3,       15,      E
Hupuwidu,        415,        Kalamar,            322,  32,      40,      N,       1,       25,      E
Husido,          1632,       Ek'gakel,           343,  45,      45,      N,       5,       40,      W
Huthido,         786,        Tokis,              312,  40,      0,       N,       4,       0,       W
Hutido,          504,        Ek'kasel,           342,  43,      50,      N,       7,       10,      W
Huturr,          400,        Drhokker,           362,  45,      10,      N,       3,       50,      E
Huvikawidu,      613,        Kalamar,            317,  37,      30,      N,       0,       50,      W
Huwden,          750,        Cosdol,             290,  48,      0,       N,       14,      5,       W
Huwidu,          647,        Kalamar,            322,  32,      30,      N,       0,       10,      E
Ildven,          1446,       Eldor,              299,  42,      20,      N,       15,      10,      W
Imkarathen,      572,        Ek'gakel,           342,  45,      20,      N,       7,       40,      W
Inden,           767,        Elosdesert,         315,  35,      40,      N,       8,       40,      W
Inolen,          23900,      Eldor,              299,  41,      45,      N,       15,      30,      W
Inven,           952,        Elosdesert,         350,  35,      25,      N,       9,       15,      W
Iphothen,        428,        Ek'gakel,           342,  45,      10,      N,       7,       35,      W
Irkk,            714,        Drhokker,           362,  44,      45,      N,       3,       20,      E
Ishohl-Ahnozh,   2453,       Ozhvinmish,         400,  31,      55,      N,       13,      35,      W
Ishzhahni,       2015,       Zazahni,            401,  28,      35,      N,       11,      35,      W
Itven,           1040,       Cosdol,             289,  47,      55,      N,       14,      35,      W
Izhahni,         1854,       Meznamish,          392,  31,      35,      N,       14,      35,      W
Izhgahn,         1099,       Meznamish,          393,  32,      25,      N,       13,      50,      W
Jaghagh,         2626,       Tarisato,           326,  31,      0,       N,       3,       20,      E
Jarggukk,        307,        Torakk,             352,  49,      30,      N,       3,       55,      E
Jarorra,         581,        Drhokker,           358,  46,      40,      N,       5,       55,      E
Jarr,            456,        Drhokker,           363,  45,      30,      N,       7,       20,      E
Jarr,            428,        Skarrna,            364,  44,      55,      N,       8,       55,      E
Jarr-Norr,       417,        Drhokker,           357,  46,      55,      N,       4,       55,      E
Jedra,           382,        Shynabyth,          356,  46,      50,      N,       1,       0,       E
Jenyk,           791,        Khydobandesert,     373,  39,      50,      N,       9,       25,      E
Jerek,           710,        Khydobandesert,     374,  40,      10,      N,       11,      10,      E
Jesden,          316,        Privbolsianislands, 307,  36,      5,       N,       21,      40,      W
Jesho,           370,        Khydobandesert,     376,  34,      20,      N,       9,       45,      E
Jhar,            439,        Drhokker,           363,  44,      40,      N,       5,       5,       E
Jhav,            627,        Tharggy,            366,  42,      10,      N,       2,       0,       E
Jheyd-Norr,      1846,       Skarrna,            370,  42,      40,      N,       8,       35,      E
Jhiggiyd,        580,        Tharggy,            367,  42,      5,       N,       3,       5,       E
Jhirr,           380,        Tharggy,            368,  39,      10,      N,       2,       15,      E
Jhorr,           405,        Drhokker,           358,  46,      25,      N,       6,       35,      E
Jhorr,           831,        Skarrna,            370,  43,      0,       N,       9,       30,      E
Jhujy,           540,        Torakk,             357,  47,      0,       N,       2,       25,      E
Jikner,          2443,       Skarrna,            364,  43,      45,      N,       9,       5,       E
Jirr,            340,        Drhokker,           358,  46,      55,      N,       5,       45,      E
Jith,            455,        Drhokker,           363,  44,      40,      N,       6,       5,       E
Jojyn,           551,        Khydobandesert,     373,  39,      10,      N,       10,      30,      E
Jokasi,          340,        Privbolsianislands, 307,  36,      20,      N,       22,      50,      W
Jonof,           384,        Shynabyth,          344,  45,      40,      N,       1,       5,       W
Jorej,           671,        Thybaj,             363,  44,      20,      N,       5,       40,      E
Junsahagh,       381,        Norga-Krangrel,     345,  41,      5,       N,       9,       5,       W
Jydefe,          383,        Privbolsianislands, 306,  36,      50,      N,       24,      25,      W
Jyrggerr,        1154,       Drhokker,           364,  45,      40,      N,       8,       40,      E
Jyshok,          579,        Khydobandesert,     374,  39,      20,      N,       11,      0,       E
Ka'abidu,        801,        Pekal,              346,  41,      10,      N,       6,       50,      W
Ka'abidu,        454,        Kalamar,            322,  32,      35,      N,       0,       30,      E
Ka'abulidu,      502,        Kalamar,            322,  31,      45,      N,       1,       20,      E
Ka'adido,        978,        O'par,              348,  43,      10,      N,       0,       40,      E
Ka'afido,        1025,       Pekal,              347,  42,      15,      N,       5,       15,      E
Ka'agibido,      963,        Kalamar,            317,  34,      20,      N,       1,       35,      W
Ka'agomuwido,    1557,       Kalamar,            321,  34,      5,       N,       3,       5,       W
Ka'al,           352,        O'par,              344,  43,      35,      N,       2,       10,      W
Ka'amidu,        816,        Paru'bor,           343,  45,      10,      N,       6,       55,      W
Ka'anido,        1089,       Kalamar,            317,  35,      35,      N,       3,       5,       W
Ka'apidu,        434,        Kalamar,            317,  36,      15,      N,       1,       5,       W
Ka'arenidu,      504,        Kalamar,            322,  32,      50,      N,       0,       15,      E
Ka'aridu,        798,        Dodera,             313,  39,      45,      N,       0,       45,      W
Ka'aridu,        437,        Kalamar,            321,  33,      5,       N,       1,       30,      W
Ka'athegedidu,   644,        Pekal,              346,  41,      30,      N,       7,       5,       W
Ka'atido,        1378,       Kalamar,            313,  37,      40,      N,       1,       40,      W
Ka'awido,        1381,       Kalamar,            325,  29,      45,      N,       1,       25,      E
Kabakosikido,    4400,       Tarisato,           329,  28,      0,       N,       2,       25,      E
Kabido,          1858,       Tokis,              347,  40,      45,      N,       3,       30,      E
Kabidu,          433,        Kalamar,            321,  32,      15,      N,       0,       45,      W
Kadar,           504,        Thybaj,             362,  44,      15,      N,       5,       0,       E
Ka'edido,        1233,       Paru'bor,           344,  45,      30,      N,       1,       50,      W
Ka'edutividu,    492,        Kalamar,            321,  33,      10,      N,       0,       50,      W
Ka'efopido,      1385,       Kalamar,            318,  36,      0,       N,       0,       35,      E
Ka'egelidu,      701,        Tarisato,           328,  28,      0,       N,       1,       35,      E
Ka'ehidu,        732,        Kalamar,            317,  34,      40,      N,       2,       10,      W
Ka'ekagidu,      730,        Tokis,              348,  40,      55,      N,       2,       35,      E
Ka'elidu,        431,        Kalamar,            316,  34,      45,      N,       4,       5,       W
Ka'enidu,        875,        Kalamar,            318,  35,      10,      N,       0,       45,      E
Ka'eterefido,    1559,       Kalamar,            321,  32,      35,      N,       1,       50,      W
Ka'ev,           365,        Kalamar,            321,  32,      25,      N,       2,       0,       W
Ka'evidu,        542,        Paru'bor,           347,  43,      15,      N,       3,       50,      E
Ka'ewido,        1063,       Kalamar,            318,  35,      35,      N,       0,       10,      W
Ka'ewofatidu,    585,        Kalamar,            317,  34,      55,      N,       2,       20,      W
Kafaf,           628,        Khydobandesert,     374,  39,      45,      N,       10,      50,      E
Kagidu,          657,        Tarisato,           325,  29,      20,      N,       1,       40,      E
Kahanth,         529,        Thybaj,             363,  44,      5,       N,       5,       20,      E
Ka'ibagogido,    1321,       Dodera,             314,  38,      50,      N,       0,       25,      W
Ka'ibidu,        627,        Basir,              320,  33,      30,      N,       4,       25,      W
Ka'ibovidu,      700,        Kalamar,            326,  31,      15,      N,       2,       45,      E
Ka'ihidu,        706,        Paru'bor,           347,  42,      30,      N,       4,       0,       E
Ka'ikidu,        304,        Tokis,              312,  37,      25,      N,       5,       10,      W
Ka'ilido,        1136,       Kalamar,            316,  36,      15,      N,       3,       45,      W
Ka'inidu,        448,        Kalamar,            322,  34,      15,      N,       0,       15,      E
Ka'inuwidu,      672,        Kalamar,            318,  36,      0,       N,       0,       20,      W
Ka'iwido,        907,        Kalamar,            321,  33,      0,       N,       2,       0,       W
Kakido,          1229,       Tokis,              347,  41,      0,       N,       3,       40,      E
Kakiridu,        492,        Kalamar,            322,  33,      20,      N,       0,       55,      E
Kako-Gyr,        19900,      Slen,               336,  49,      25,      N,       2,       10,      W
Kalal,           410,        Labroldianislands,  307,  35,      5,       N,       20,      30,      W
Kalaleta,        7200,       Kalalaliforest,     343,  44,      10,      N,       5,       55,      W
Kaleta,          9800,       Dodera,             313,  39,      5,       N,       0,       40,      W
Kalido,          957,        Kalamar,            320,  31,      35,      N,       4,       25,      W
Kalokapeta,      13300,      Ek'kasel,           346,  42,      5,       N,       7,       30,      W
Kalufido,        1975,       Tokis,              312,  40,      15,      N,       4,       0,       W
Kamamidu,        584,        Kalamar,            322,  33,      40,      N,       0,       15,      W
Kamuhido,        1275,       Dodera,             348,  40,      30,      N,       1,       30,      E
Kanan,           1087,       Thybaj,             367,  41,      20,      N,       4,       20,      E
Kanidu,          707,        Kalamar,            316,  36,      0,       N,       3,       20,      W
Kanidu,          477,        Kalamar,            322,  32,      30,      N,       0,       15,      E
Ka'ohido,        1105,       Basir,              320,  33,      45,      N,       4,       50,      W
Ka'ohin,         397,        Kalamar,            322,  31,      25,      N,       2,       10,      E
Ka'olidu,        475,        Paru'bor,           344,  44,      35,      N,       2,       45,      W
Ka'om,           375,        Kalamar,            322,  32,      30,      N,       1,       35,      E
Ka'omuthidu,     500,        Kalamar,            322,  33,      25,      N,       0,       45,      E
Ka'opido,        1067,       O'par,              344,  43,      45,      N,       0,       50,      W
Ka'othidu,       712,        Kalamar,            318,  34,      30,      N,       1,       0,       E
Ka'ovadidu,      611,        Tokis,              312,  37,      45,      N,       3,       55,      W
Ka'owad,         374,        Pekal,              347,  41,      30,      N,       4,       35,      E
Kapido,          2081,       Kalamar,            318,  36,      10,      N,       1,       50,      E
Kapidu,          525,        Kalamar,            317,  37,      15,      N,       2,       45,      W
Kapunido,        1991,       Dodera,             314,  39,      5,       N,       0,       0,       E
Karasta,         25000,      Kalamar,            323,  33,      30,      N,       3,       25,      E
Karidu,          438,        Pekal,              347,  41,      40,      N,       5,       20,      E
Karow,           379,        Kalamar,            323,  32,      25,      N,       2,       20,      E
Kasebapido,      4300,       Korak,              345,  43,      5,       N,       9,       5,       W
Kasido,          4900,       O'par,              348,  41,      45,      N,       2,       30,      E
Kasido,          1230,       Kalamar,            323,  32,      0,       N,       3,       10,      E
Katarr,          415,        Drhokker,           364,  46,      15,      N,       9,       10,      E
Katash,          614,        Thybaj,             367,  42,      30,      N,       3,       50,      E
Kath,            576,        Tharggy,            366,  40,      45,      N,       1,       55,      E
Kath,            357,        Kalamar,            322,  32,      25,      N,       1,       45,      E
Kathekidu,       595,        Kalamar,            322,  32,      25,      N,       0,       25,      E
Kathido,         960,        Kalamar,            317,  35,      45,      N,       2,       30,      W
Kathidu,         517,        Kalamar,            322,  31,      45,      N,       0,       0,       E
